nodeID,nodeLabel,latitude,longitude,country_name,country_ISO3
0,unknown,24.685458499999783,59.23680149999984,Estonia,EST
1,level_crossing,24.542754499999774,59.323356999999845,Estonia,EST
2,train_station,24.832982499999787,58.99361699999983,Estonia,EST
3,unknown,25.011368999999775,58.86538299999984,Estonia,EST
4,unknown,24.72545249999976,59.401564999999835,Estonia,EST
5,unknown,24.267893499999786,59.31942199999983,Estonia,EST
6,train_station,24.736365999999776,59.44031699999982,Estonia,EST
7,unknown,24.738945499999772,59.175599499999834,Estonia,EST
8,level_crossing,24.391096999999775,59.30686599999984,Estonia,EST
9,train_station,24.54851599999978,59.32503999999983,Estonia,EST
10,unknown,24.735381999999788,59.421568999999835,Estonia,EST
11,unknown,24.74233149999978,59.41920599999983,Estonia,EST
12,unknown,24.727488499999765,59.42555449999983,Estonia,EST
13,train_station,25.17417599999976,59.36567449999984,Estonia,EST
14,unknown,25.18492299999977,59.36472649999985,Estonia,EST
15,unknown,24.82999799999976,59.000683999999836,Estonia,EST
16,level_crossing,24.687182999999777,59.25121449999983,Estonia,EST
17,level_crossing,24.745986999999786,59.168367999999845,Estonia,EST
18,train_station,24.744093999999762,59.170326999999844,Estonia,EST
19,level_crossing,24.838263999999782,59.040985499999834,Estonia,EST
20,train_station,24.67663349999978,59.30104849999984,Estonia,EST
21,unknown,24.68635349999977,59.24553049999983,Estonia,EST
22,unknown,24.85571699999977,59.42021899999983,Estonia,EST
23,level_crossing,24.082217499999786,59.33883649999984,Estonia,EST
24,unknown,24.06583299999977,59.34151399999982,Estonia,EST
25,train_station,24.259495999999785,59.320280999999824,Estonia,EST
26,unknown,25.55859049999978,58.63659099999984,Estonia,EST
27,unknown,24.47247649999977,59.31094749999983,Estonia,EST
28,train_station,24.21708149999978,59.32462649999982,Estonia,EST
29,unknown,24.425333499999766,59.30625199999983,Estonia,EST
30,level_crossing,24.317162999999766,59.31437149999982,Estonia,EST
31,level_crossing,24.103114999999775,59.336587999999836,Estonia,EST
32,level_crossing,24.25330299999979,59.32092149999983,Estonia,EST
33,train_station,24.415045999999762,59.30618799999982,Estonia,EST
34,unknown,24.788569499999767,59.423347499999835,Estonia,EST
35,unknown,24.784892499999785,59.42335249999982,Estonia,EST
36,unknown,24.838701499999786,58.98921399999983,Estonia,EST
37,level_crossing,24.72704799999977,59.39246649999984,Estonia,EST
38,unknown,24.741645499999777,59.40781849999982,Estonia,EST
39,unknown,24.736418499999786,59.40420549999985,Estonia,EST
40,unknown,24.85272999999978,58.98273549999982,Estonia,EST
41,unknown,24.996547499999764,58.87357449999985,Estonia,EST
42,unknown,24.720492999999777,59.375268499999834,Estonia,EST
43,unknown,24.725247499999767,59.390183999999834,Estonia,EST
44,unknown,24.727233999999783,59.403595499999824,Estonia,EST
45,train_station,24.62772499999977,59.354712499999835,Estonia,EST
46,train_station,24.612679499999786,59.34365199999982,Estonia,EST
47,unknown,24.602160999999768,59.34058949999982,Estonia,EST
48,unknown,24.671756999999786,59.38353399999983,Estonia,EST
49,unknown,24.649310499999785,59.37347699999984,Estonia,EST
50,unknown,24.68957299999977,59.38659349999983,Estonia,EST
51,unknown,24.637065999999777,59.367451499999845,Estonia,EST
52,level_crossing,25.428576499999764,58.80480299999982,Estonia,EST
53,unknown,25.40668549999978,58.80586899999983,Estonia,EST
54,level_crossing,25.465672999999782,58.778324999999825,Estonia,EST
55,level_crossing,25.562626999999765,58.62725449999982,Estonia,EST
56,train_station,25.561653999999777,58.62958499999982,Estonia,EST
57,train_station,25.422841999999775,58.805041999999844,Estonia,EST
58,level_crossing,25.352683999999783,58.81198149999983,Estonia,EST
59,level_crossing,25.537474999999773,58.51886999999982,Estonia,EST
60,level_crossing,25.575983999999778,58.360160499999836,Estonia,EST
61,unknown,27.59461399999978,57.83698499999983,Estonia,EST
62,unknown,27.57082399999976,57.83602999999982,Estonia,EST
63,level_crossing,25.60694099999978,59.287382499999836,Estonia,EST
64,unknown,24.921604499999773,59.42788549999983,Estonia,EST
65,unknown,24.92080599999977,59.40523999999982,Estonia,EST
66,level_crossing,27.02289399999978,59.356847499999844,Estonia,EST
67,unknown,26.93514149999976,59.35223749999983,Estonia,EST
68,unknown,27.363260999999767,58.00020949999984,Estonia,EST
69,level_crossing,26.67975599999977,59.344858499999845,Estonia,EST
70,unknown,26.05368699999977,57.77459349999984,Estonia,EST
71,level_crossing,26.63375449999978,58.317353499999825,Estonia,EST
72,level_crossing,27.012010999999774,57.82699249999985,Estonia,EST
73,unknown,24.88079849999977,59.42471849999984,Estonia,EST
74,unknown,26.332195499999784,58.133571999999845,Estonia,EST
75,level_crossing,26.67486349999976,58.404475999999846,Estonia,EST
76,unknown,26.043548499999787,57.77360249999984,Estonia,EST
77,unknown,26.712849999999776,58.342805999999825,Estonia,EST
78,unknown,26.71774199999976,58.36450549999984,Estonia,EST
79,level_crossing,26.42370749999978,58.22653299999985,Estonia,EST
80,train_station,26.71741149999977,58.32366799999983,Estonia,EST
81,unknown,26.712515999999766,58.34468399999983,Estonia,EST
82,unknown,27.476904499999762,57.91719049999983,Estonia,EST
83,unknown,27.764527499999758,59.37339099999983,Estonia,EST
84,unknown,28.206129499999776,59.367110999999824,Estonia,EST
85,unknown,26.589027999999786,58.55777299999983,Estonia,EST
86,unknown,28.098353999999773,59.36984849999985,Estonia,EST
87,level_crossing,28.076260499999762,59.369027499999845,Estonia,EST
88,unknown,26.36051299999977,59.357274999999845,Estonia,EST
89,level_crossing,26.346524999999787,59.35567149999983,Estonia,EST
