nodeID,nodeLabel,latitude,longitude,country_name,country_ISO3
0,unknown,12.760244999999799,48.14598049999984,Germany,DEU
1,level_crossing,7.337707999999793,53.332126499999845,Germany,DEU
2,unknown,9.197598999999798,48.15564849999984,Germany,DEU
3,level_crossing,9.851535999999783,49.64220899999984,Germany,DEU
4,unknown,10.984051999999792,51.80632999999983,Germany,DEU
5,level_crossing,8.4622434999998,53.23872399999985,Germany,DEU
6,unknown,8.5984669999998,48.84920149999985,Germany,DEU
7,train_station,9.285564999999792,51.12538299999983,Germany,DEU
8,level_crossing,10.601163499999785,47.69775049999984,Germany,DEU
9,unknown,12.987689499999789,48.96189749999985,Germany,DEU
10,level_crossing,11.139238999999776,49.55748699999984,Germany,DEU
11,level_crossing,6.446902499999794,51.65829149999985,Germany,DEU
12,train_station,8.485406999999782,50.11866599999985,Germany,DEU
13,level_crossing,13.000145499999775,49.072276499999845,Germany,DEU
14,train_station,11.363145999999801,48.12843599999985,Germany,DEU
15,unknown,8.803405499999798,51.98933099999985,Germany,DEU
16,train_station,11.4271999999998,47.91432049999983,Germany,DEU
17,unknown,13.863142499999782,50.94306699999984,Germany,DEU
18,unknown,7.902763999999792,50.629784999999856,Germany,DEU
19,train_station,8.527353999999804,50.33078599999985,Germany,DEU
20,level_crossing,13.22037949999978,50.709929999999844,Germany,DEU
21,unknown,10.2194819999998,47.55822499999985,Germany,DEU
22,train_station,10.272681999999804,47.51515799999984,Germany,DEU
23,train_station,11.574195499999803,47.76064399999984,Germany,DEU
24,unknown,13.427513999999775,48.606584499999855,Germany,DEU
25,unknown,9.047398999999785,48.51232949999985,Germany,DEU
26,level_crossing,6.480089499999792,50.529494499999856,Germany,DEU
27,unknown,13.628065499999792,50.98190249999985,Germany,DEU
28,unknown,10.610306999999779,47.77417099999985,Germany,DEU
29,unknown,9.770809499999785,49.09784249999984,Germany,DEU
30,unknown,8.30805049999978,50.98330999999985,Germany,DEU
31,level_crossing,9.067870999999798,53.765220999999826,Germany,DEU
32,unknown,8.7181424999998,53.85413949999983,Germany,DEU
33,unknown,13.587595999999792,48.73559499999985,Germany,DEU
34,unknown,10.478605999999786,48.89881499999984,Germany,DEU
35,unknown,11.035147999999793,49.466293499999836,Germany,DEU
36,level_crossing,7.8196524999997905,50.66495499999985,Germany,DEU
37,unknown,13.8034384999998,50.85872949999984,Germany,DEU
38,train_station,11.911881499999794,48.303206499999845,Germany,DEU
39,unknown,8.451893499999784,53.11917249999985,Germany,DEU
40,unknown,6.611462999999787,51.82362949999984,Germany,DEU
41,unknown,10.276024999999777,54.23109499999984,Germany,DEU
42,unknown,9.478168499999782,47.65396199999984,Germany,DEU
43,train_station,8.17074649999978,49.463903499999844,Germany,DEU
44,unknown,10.305959499999801,52.036898499999836,Germany,DEU
45,train_station,11.464766499999797,51.75734949999983,Germany,DEU
46,unknown,8.533821999999788,52.284748499999836,Germany,DEU
47,train_station,11.030761499999784,51.746252499999855,Germany,DEU
48,train_station,8.06844799999979,49.55314799999985,Germany,DEU
49,train_station,8.48187299999978,53.329878499999836,Germany,DEU
50,unknown,11.529615499999778,48.075424499999855,Germany,DEU
51,unknown,8.46364749999978,50.123995999999835,Germany,DEU
52,unknown,13.820255499999774,51.17065899999983,Germany,DEU
53,unknown,13.231040499999779,50.70600549999983,Germany,DEU
54,unknown,11.90579699999978,50.31984949999983,Germany,DEU
55,unknown,10.631169999999798,54.13063149999985,Germany,DEU
56,unknown,8.6659994999998,48.88818599999985,Germany,DEU
57,unknown,13.602100999999777,52.60135199999985,Germany,DEU
58,unknown,12.96956899999978,47.83754349999984,Germany,DEU
59,unknown,12.967142499999795,47.82460899999984,Germany,DEU
60,train_station,12.479607499999787,53.16000199999985,Germany,DEU
61,train_station,6.591107499999794,51.542673499999836,Germany,DEU
62,unknown,8.435529999999801,51.367008499999855,Germany,DEU
63,level_crossing,10.5313964999998,52.387796999999836,Germany,DEU
64,unknown,7.883669499999797,48.07582049999985,Germany,DEU
65,unknown,9.811027999999794,52.37470949999985,Germany,DEU
66,unknown,11.229660999999794,48.06942349999986,Germany,DEU
67,unknown,8.1642539999998,49.576617499999855,Germany,DEU
68,level_crossing,8.73085949999978,49.59321199999985,Germany,DEU
69,level_crossing,13.26313049999979,51.54341199999985,Germany,DEU
70,unknown,11.037211499999785,49.330239499999834,Germany,DEU
71,level_crossing,10.331129999999803,49.06654499999985,Germany,DEU
72,level_crossing,14.4316694999998,51.055416499999836,Germany,DEU
73,unknown,9.327591999999783,48.53162399999985,Germany,DEU
74,unknown,12.825343499999775,52.92624999999984,Germany,DEU
75,unknown,13.427293499999791,48.57924699999984,Germany,DEU
76,train_station,6.373695999999796,51.45999149999983,Germany,DEU
77,unknown,10.863988999999776,50.743611499999844,Germany,DEU
78,unknown,8.709004499999793,51.40250949999984,Germany,DEU
79,train_station,11.8387524999998,52.07396349999985,Germany,DEU
80,unknown,8.517533499999786,52.23480649999985,Germany,DEU
81,level_crossing,13.650761999999787,52.61140499999985,Germany,DEU
82,unknown,8.200564999999784,53.157042999999845,Germany,DEU
83,unknown,6.4655924999997865,50.840313999999836,Germany,DEU
84,train_station,8.477559499999785,51.357803999999845,Germany,DEU
85,unknown,9.33942049999979,48.62302099999985,Germany,DEU
86,level_crossing,11.552772999999803,50.066733999999855,Germany,DEU
87,train_station,8.031521499999798,53.48921599999983,Germany,DEU
88,train_station,11.149517999999802,49.530241499999846,Germany,DEU
89,level_crossing,9.356967499999797,48.59553049999985,Germany,DEU
